No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic,
24,"24- ( 912 ) عن عائشة رضي الله عنه قالت : رأيت رسول الله صلى الله عليه وسلم وهو بالموت عنده قدح فيه ماء وهو يدخل يده في القدح ثم يمسح وجهه بالماء ثم يقول : "" اللهم أعني على غمرات الموت أو سكرات الموت "" . رواه الترمذي . ( ضعيف ) .[ فيه : موسى بن سرجس ، وهو مجهول ] .",عن عائشة رضي الله عنه قالت," رأيت رسول الله صلى الله عليه وسلم وهو بالموت عنده قدح فيه ماء وهو يدخل يده في القدح ثم يمسح وجهه بالماء ثم يقول : "" اللهم أعني على غمرات الموت أو سكرات الموت"," رواه الترمذي . ( ضعيف ) .[ فيه : موسى بن سرجس ، وهو مجهول ] .",,non-authentic,باب ما يقوله من أيس من حياته,
25,"25- ( 944 ) عن حصين بن وَحْوَح رضي الله عنه أن طلحة بن البراء بن عازب رضي الله عنهما مرض فأتاه النبي صلى الله عليه وسلم يعوده فقال : "" إني لا أرى طلحة إلا قد حدث فيه الموت فآذنوني به وعجلوا به فإنه لا ينبغي لجيفة مسلم أن تحبس بين ظهراني أهله "" . رواه أبو داود . ( ضعيف ) .[ فيه : مجهولان : عروة بن سعيد الأنصاري ، وأبوه ] .",عن حصين بن وَحْوَح رضي الله عنه أن طلحة بن البراء بن عازب رضي الله عنهما مرض فأتاه النبي صلى الله عليه وسلم يعوده فقال, إني لا أرى طلحة إلا قد حدث فيه الموت فآذنوني به وعجلوا به فإنه لا ينبغي لجيفة مسلم أن تحبس بين ظهراني أهله ,"رواه أبو داود . ( ضعيف ) .[ فيه : مجهولان : عروة بن سعيد الأنصاري ، وأبوه ] .",ضعيف,non-authentic,باب تعجيل قضاء الدَّيْن عن الميت والمبادرة إلى تجهيزه إلا أن يموت فجأة فيترك حتى يُتيقن موته,
26,"26- ( 947 ) عن عمرو بن العاص رضي الله عنه قال : إذا دفنتموني فأقيموا حوا قبري قدر ما تنحر جزور ويقسم لحمها حتى أستأنس بكم واعلم ماذا أراجع به رسل ربي . رواه مسلم . قال الشافعي رحمه الله : ويستحب أن يقرأ عنده شيء من القرآن وإن ختموا القرآن عنده كان حسنا . [ قال الشيخ الألباني : لا أدري أين قال ذلك الشافعي رحمه الله تعالى وفي ثبوته عنه شك كبير عندي كيف لا ومذهبه أن القراءة لا يصل إهداء ثوابها إلى الموتى كما نقله عنه الحافظ ابن كثير في تفسير قوله تعالى : { وأن ليس للإنسان إلا ما سعى } وقد أشار شيخ الإسلام ابن تيمية إلى عدم ثبوت ذلك عن الإمام الشافعي بقوله في "" الاقتضاء "" : ( لا يحفظ عن الشافعي نفسه في هذه المسألة كلام وذلك لأن ذلك كان عنده بدعة وقال مالك : ما علمنا أحدا فعل ذلك فعلم أن الصحابة والتابعين ما كانوا يفعلون ذلك ) . قلت : وذلك هو مذهب أحمد أيضا : أن لا قراءة على القبر كما أثبته في كتابي "" أحكام الجنائز "" ، وهو ما انتهى إليه رأي شيخ الإسلام ابن تيمية رحمه الله تعالى كما حققته في كتابي المذكور ] . ",عن عمرو بن العاص رضي الله عنه قال, إذا دفنتموني فأقيموا حوا قبري قدر ما تنحر جزور ويقسم لحمها حتى أستأنس بكم واعلم ماذا أراجع به رسل ربي," رواه مسلم . قال الشافعي رحمه الله : ويستحب أن يقرأ عنده شيء من القرآن وإن ختموا القرآن عنده كان حسنا . [ قال الشيخ الألباني : لا أدري أين قال ذلك الشافعي رحمه الله تعالى وفي ثبوته عنه شك كبير عندي كيف لا ومذهبه أن القراءة لا يصل إهداء ثوابها إلى الموتى كما نقله عنه الحافظ ابن كثير في تفسير قوله تعالى : { وأن ليس للإنسان إلا ما سعى } وقد أشار شيخ الإسلام ابن تيمية إلى عدم ثبوت ذلك عن الإمام الشافعي بقوله في "" الاقتضاء "" : ( لا يحفظ عن الشافعي نفسه في هذه المسألة كلام وذلك لأن ذلك كان عنده بدعة وقال مالك : ما علمنا أحدا فعل ذلك فعلم أن الصحابة والتابعين ما كانوا يفعلون ذلك ) . قلت : وذلك هو مذهب أحمد أيضا : أن لا قراءة على القبر كما أثبته في كتابي "" أحكام الجنائز "" ، وهو ما انتهى إليه رأي شيخ الإسلام ابن تيمية رحمه الله تعالى كما حققته في كتابي المذكور",,non-authentic,باب الدعاء للميت بعد دفنه والقعود عند قبره ساعة للدعاء له والاستغفار والقراءة,
27,"27- ( 1000 ) عن ابن عباس رضي الله عنهما قال : قال رسول الله صلى الله عليه وسلم : "" إن الذي ليس في جوفه شيء من القرآن كالبيت الخرب "" . رواه الترمذي وقال : حديث حسن صحيح . ( ضعيف ) .[ فيه : قابوس بن أبي ظبيان ، وهو ضعيف ] .",عن ابن عباس رضي الله عنهما قال : قال رسول الله صلى الله عليه وسلم, إن الذي ليس في جوفه شيء من القرآن كالبيت الخرب,". رواه الترمذي وقال : حديث حسن صحيح . ( ضعيف ) .[ فيه : قابوس بن أبي ظبيان ، وهو ضعيف",ضعيف,non-authentic,باب فضل قراءة القرآن,كتاب الفضائل
28_1,"28- ( 1021 ) عن أبي الدرداء رضي الله عنه أن رسول الله صلى الله عليه وسلم قال : "" من حفظ عشر آيات من أول سورة الكهف عصم من الدجال "" . وفي رواية : "" من آخر سورة الكهف "" رواهما مسلم . [ قال الشيخ الألباني :قلت : الرواية الأخرى شاذة والمحفوظ الرواية الأولى كما حققته في "" سلسلة الأحاديث الصحيحة "" رقم ( 2651 ) ويشهد له حديث النواس بن سمعان الآتي عند المصنف برقم ( 1808 ) فإن فيه "" فمن أدركه منكم فليقرأ عليه فواتح سورة الكهف "" ] . ",عن أبي الدرداء رضي الله عنه أن رسول الله صلى الله عليه وسلم قال, من حفظ عشر آيات من أول سورة الكهف عصم من الدجال,,,authentic,باب في الحث على سور وآيات مخصوصة,كتاب الفضائل
28_2,,,"وفي رواية : "" من آخر سورة الكهف"," رواهما مسلم . [ قال الشيخ الألباني :قلت : الرواية الأخرى شاذة والمحفوظ الرواية الأولى كما حققته في "" سلسلة الأحاديث الصحيحة "" رقم ( 2651 ) ويشهد له حديث النواس بن سمعان الآتي عند المصنف برقم ( 1808 ) فإن فيه "" فمن أدركه منكم فليقرأ عليه فواتح سورة الكهف",,non-authentic,باب في الحث على سور وآيات مخصوصة,كتاب الفضائل
29,"29- ( 1024 ) عن أبي هريرة رضي الله عنه قال : سمعت رسول الله صلى الله عليه وسلم يقول : "" إن أمتي يدعون يوم القيامة غرا محجلين من آثار الوضوء فمن استطاع منكم أن يطيل غرته فليفعل "" . متفق عليه [ قال الشيخ الألباني : وقوله "" فمن استطاع . . . "" مدرج في الحديث كما قال الحافظ وغيره فراجع له "" الإرواء "" رقم ( 94 ) و "" الضعيفة "" رقم ( 1030 ) ] . ",عن أبي هريرة رضي الله عنه قال : سمعت رسول الله صلى الله عليه وسلم يقول , إن أمتي يدعون يوم القيامة غرا محجلين من آثار الوضوء فمن استطاع منكم أن يطيل غرته فليفعل," متفق عليه [ قال الشيخ الألباني : وقوله "" فمن استطاع . . . "" مدرج في الحديث كما قال الحافظ وغيره فراجع له "" الإرواء "" رقم ( 94 ) و "" الضعيفة "" رقم ( 1030",,non-authentic,باب فضل الوضوء,كتاب الفضائل
30,"30- ( 1060 ) عن أبي سعيد الخدري رضي الله عنه عن النبي صلى الله عليه وسلم قال : "" إذا رأيتم الرجل يعتاد المساجد فاشهدوا له بالإيمان قال الله عز وجل { إنما يعمر مساجد الله من آمن بالله واليوم الآخر . . الآية } رواه الترمذي وقال : حديث حسن .( ضعيف ) .[ فيه : دراج أبو السمح وهو ضعيف في حديثه عن أبي الهيثم ، وهذه منها ] .",عن أبي سعيد الخدري رضي الله عنه عن النبي صلى الله عليه وسلم قال, إذا رأيتم الرجل يعتاد المساجد فاشهدوا له بالإيمان قال الله عز وجل { إنما يعمر مساجد الله من آمن بالله واليوم الآخر . . الآية ," رواه الترمذي وقال : حديث حسن .( ضعيف ) .[ فيه : دراج أبو السمح وهو ضعيف في حديثه عن أبي الهيثم ، وهذه منها",ضعيف,non-authentic,باب فضل المشي إلى المساجد,كتاب الفضائل
31,"31- ( 1094 ) عن عائشة رضي الله عنها قات : قال رسول الله صلى الله عليه وسلم : "" إن الله وملائكته يصلون على ميامن الصفوف "" رواه أبو داود بإسناد على شرط مسلم وفيه رجل مختلف في توثيقه . ( شاذ ) .[ قال الشيخ الألباني :والمحفوظ - كما قال البيهقي - إنما هو بلفظ : "" . . . على الذي يصلون الصفوف "" كما ذكرته في تعليقي على "" المشكاة "" ، وبينته في كتابي "" ضعيف أبي داود "" و "" صحيح أبي داود "" ) ] . ",عن عائشة رضي الله عنها قات : قال رسول الله صلى الله عليه وسلم, إن الله وملائكته يصلون على ميامن الصفوف," رواه أبو داود بإسناد على شرط مسلم وفيه رجل مختلف في توثيقه . ( شاذ ) .[ قال الشيخ الألباني :والمحفوظ - كما قال البيهقي - إنما هو بلفظ : "" . . . على الذي يصلون الصفوف "" كما ذكرته في تعليقي على "" المشكاة "" ، وبينته في كتابي "" ضعيف أبي داود "" و "" صحيح أبي داود",,non-authentic,"باب فضل الصف الأول ، والأمر بإتمام الصفوف الأُوَل ، وتسويتها ، والتراص فيها",كتاب الفضائل
32,"32- ( 1096 ) عن أبي هريرة رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم : "" وسطوا الإمام وسدوا الخلل "" رواه أبو داود .( أوله ضعيف ) .[ فيه : مجهولان ، لكن الشطر الثاني منه له شواهد ] . ",عن أبي هريرة رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم, وسطوا الإمام وسدوا الخلل," رواه أبو داود .( أوله ضعيف ) .[ فيه : مجهولان ، لكن الشطر الثاني منه له شواهد", أوله ضعيف,non-authentic,"باب فضل الصف الأول ، والأمر بإتمام الصفوف الأُوَل ، وتسويتها ، والتراص فيها",كتاب الفضائل
33,"33- ( 1121 ) عن علي بن أبي طالب رضي الله عنه أن النبي صلى الله عليه وسلم كان يصلي قبل العصر ركعتين . رواه أبو داود بإسناد صحيح . ( شاذ بهذا اللفظ ) . [ والمحفوظ بلفظ : "" أربع ركعات "" ] .",عن علي بن أبي طالب رضي الله عنه, أن النبي صلى الله عليه وسلم كان يصلي قبل العصر ركعتين," رواه أبو داود بإسناد صحيح . ( شاذ بهذا اللفظ ) . [ والمحفوظ بلفظ : "" أربع ركعات", شاذ بهذا اللفظ,non-authentic,باب سنة العصر,كتاب الفضائل
34,"34- ( 1157 ) عن أبي بردة بن أبي موسى رضي الله عنه قال : قال عبد الله بن عمر رضي الله عنهما : أسمعت أباك يحدث عن رسول الله صلى الله عليه وسلم في شأن ساعة الجمعة ؟ قال : قلت : نعم سمعته يقول : سمعت رسول الله صلى الله عليه وسلم يقول : "" هي ما بين أن يجلس الإمام إلى أن تقضى الصلاة "" . رواه مسلم ( ضعيف مرفوعاً ، صحيح موقوفاً ) .[ صحح الأئمة وقفه على أبي موسى الأشعري ، ومنهم الإمام الدارقطني ] .",عن أبي بردة بن أبي موسى رضي الله عنه قال : قال عبد الله بن عمر رضي الله عنهما : أسمعت أباك يحدث عن رسول الله صلى الله عليه وسلم في شأن ساعة الجمعة ؟ قال : قلت : نعم سمعته يقول : سمعت رسول الله صلى الله عليه وسلم يقول , هي ما بين أن يجلس الإمام إلى أن تقضى الصلاة,". رواه مسلم ( ضعيف مرفوعاً ، صحيح موقوفاً ) .[ صحح الأئمة وقفه على أبي موسى الأشعري ، ومنهم الإمام الدارقطني",ضعيف,non-authentic,"باب فضل يوم الجمعة ووجوبها والاغتسال لها ، والطيب ، والتكبير إليها ",كتاب الفضائل
35,"35- ( 1159 ) عن سعد بن أبي وقاص رضي الله عنه قال : خرجنا مع رسول الله صلى الله عليه وسلم من مكة نريد المدينة فلما كنا قريبا من عزوراء نزل ثم رفع يديه فدعا الله ساعة ثم خر ساجدا فمكث طويلا ثم قام فرع يديه ساعة ثم خر ساجدا - فعله ثلاثا - وقال : "" إني سألت ربي وشفعت لأمتي فأعطاني ثلث أمتي فخررت ساجدا لربي شكرا ثم رفعت رأسي فسألت ربي لأمتي فأعطاني ثلث أمتي فخررت ساجدا لربي شكرا ثم رفعت رأسي فسألت ربي لأمتي فأعطاني الثلث الأخير فخررت ساجدا لربي "" رواه أبو داود .( ضعيف ) .[ فيه : موسى بن يعقوب الزمعي ، وهو سيء الحفظ ، وشيخه يحيى بن الحسن بن عثمان ، وهو مجهول ] . وسجود الشكر ثابت في غير ما حديث عن النبي صلى الله عليه وأصحابه .",عن سعد بن أبي وقاص رضي الله عنه قال,": خرجنا مع رسول الله صلى الله عليه وسلم من مكة نريد المدينة فلما كنا قريبا من عزوراء نزل ثم رفع يديه فدعا الله ساعة ثم خر ساجدا فمكث طويلا ثم قام فرع يديه ساعة ثم خر ساجدا - فعله ثلاثا - وقال : "" إني سألت ربي وشفعت لأمتي فأعطاني ثلث أمتي فخررت ساجدا لربي شكرا ثم رفعت رأسي فسألت ربي لأمتي فأعطاني ثلث أمتي فخررت ساجدا لربي شكرا ثم رفعت رأسي فسألت ربي لأمتي فأعطاني الثلث الأخير فخررت ساجدا لربي"," رواه أبو داود .( ضعيف ) .[ فيه : موسى بن يعقوب الزمعي ، وهو سيء الحفظ ، وشيخه يحيى بن الحسن بن عثمان ، وهو مجهول ] . وسجود الشكر ثابت في غير ما حديث عن النبي صلى الله عليه وأصحابه",ضعيف,non-authentic,باب استحباب سجود الشكر عند حصولنعمة ظاهرة أو اندفاع بلية ظاهرة,كتاب الفضائل
36,"36- ( 1179 ) عن أبي هريرة رضي الله عنه أن النبي صلى الله عليه وسلم قال : "" إذا قام أحدكم من الليل فليفتتح الصلاة بركعتين خفيفتين "" رواه مسلم . ( شاذ بهذا اللفظ ) .[ قال الشيخ الألباني : وهو عند غير مسلم عن أبي هريرة مرفوعا من فعله صلى الله عليه وسلم وهو الصواب وأما من قوله فشاذ كما حققته في "" ضعيف أبي داود "" ] .",عن أبي هريرة رضي الله عنه أن النبي صلى الله عليه وسلم قال, إذا قام أحدكم من الليل فليفتتح الصلاة بركعتين خفيفتين," رواه مسلم . ( شاذ بهذا اللفظ ) .[ قال الشيخ الألباني : وهو عند غير مسلم عن أبي هريرة مرفوعا من فعله صلى الله عليه وسلم وهو الصواب وأما من قوله فشاذ كما حققته في  ضعيف أبي داود "" ] .",ضعيف,non-authentic,باب فضل قيام الليل,كتاب الفضائل
37,"37- ( 1235 ) عن أبي هريرة رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم : "" قال الله عز وجل : أحب عبادي إلي أعجلهم فطرا "" رواه الترمذي وقال : حديث حسن . ( ضعيف ) .[ فيه : قرة بن عبد الرحمن وهو : ضعيف لسوء حفظه ] . ",عن أبي هريرة رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم, قال الله عز وجل : أحب عبادي إلي أعجلهم فطرا , رواه الترمذي وقال : حديث حسن . ( ضعيف ) .[ فيه : قرة بن عبد الرحمن وهو : ضعيف لسوء حفظه,ضعيف,non-authentic,"باب فضل تعجيل الفطر ، وما يفطر عليه ، وما يقوله بعد الإفطار",كتاب الفضائل
38,"38- ( 1248 ) عن مجيبة الباهلية عن أبيها أو عمها أنه أتى رسول الله صلى الله عليه وسلم ثم انطلق فأتاه بعد سنة - وقد تغيرت حالته وهيئته - فقال : يا رسول الله أما تعرفني ؟ قال : "" ومن أنت "" قال : أنا الباهلي الذي جئتم عام الأول . قال : "" فما غيرك وقد كنت حسن الهيئة "" قال : ما أكلت طعاما منذ فارقتك إلا بليل . فقال رسول الله صلى الله عليه وسلم : "" عذبت نفسك "" ثم قال : "" صم شهر الصبر ويوما من كل شهر "" قال : زدني قال : "" صم من الحرم واترك صم من الحرم واترك صم من الحرم واترك "" وقال بأصابعه الثلاث فضمها ثم أرسلها . رواه أبو داود . وشهر الصبر رمضان . ( ضعيف ) .[ فيه مجيبة الباهلية ، وهي مجهولة ] .",عن مجيبة الباهلية عن أبيها أو عمها ," أنه أتى رسول الله صلى الله عليه وسلم ثم انطلق فأتاه بعد سنة - وقد تغيرت حالته وهيئته - فقال : يا رسول الله أما تعرفني ؟ قال : "" ومن أنت "" قال : أنا الباهلي الذي جئتم عام الأول . قال : "" فما غيرك وقد كنت حسن الهيئة "" قال : ما أكلت طعاما منذ فارقتك إلا بليل . فقال رسول الله صلى الله عليه وسلم : "" عذبت نفسك "" ثم قال : "" صم شهر الصبر ويوما من كل شهر "" قال : زدني قال : "" صم من الحرم واترك صم من الحرم واترك صم من الحرم واترك "" وقال بأصابعه الثلاث فضمها ثم أرسلها "," رواه أبو داود . وشهر الصبر رمضان . ( ضعيف ) .[ فيه مجيبة الباهلية ، وهي مجهولة",ضعيف,non-authentic,باب فضل صوم المحرَّم وشعبان والأشهر الحرُم,كتاب الفضائل
39,"39- ( 1266 ) عن أم عمارة الأنصارية رضي الله عنها أن النبي صلى الله عليه وسلم دخل عليها فقدمت إليه طعاما فقال : "" كلي "" فقالت : إني صائمة فقال رسول الله صلى الله عليه وسلم : "" إن الصائم تصلي عليه الملائكة إذا أكل عنده حتى يفرغوا "" وربما قال : "" حتى يشبعوا "" رواه الترمذي وقال : حديث حسن . ( ضعيف ) .[ فيه ليلى ، وهي مجهولة ] .",عن أم عمارة الأنصارية رضي الله عنها ," أن النبي صلى الله عليه وسلم دخل عليها فقدمت إليه طعاما فقال : "" كلي "" فقالت : إني صائمة فقال رسول الله صلى الله عليه وسلم : "" إن الصائم تصلي عليه الملائكة إذا أكل عنده حتى يفرغوا "" وربما قال : "" حتى يشبعوا "," رواه الترمذي وقال : حديث حسن . ( ضعيف ) .[ فيه ليلى ، وهي مجهولة",ضعيف,non-authentic,"باب فضل من فطَّر صائماً ، وفضل الصائم الذي يؤكل عنده ، ودعاء الآكل للمأكول عنده ",كتاب الفضائل
40,"40- ( 1335 ) عن عقبة بن عامر الجهني رضي الله عنه قال : سمعت رسول الله صلى الله عليه وسلم : "" إن الله يدخل بالسهم الواحد ثلاثة نفر الجنة : صانعه يحتسب في صنعته الخير والرامي به ومنبله وارموا واركبوا وأن ترموا أحب إلي من أن تركبوا ومن ترك الرمي بعد ما علمه رغبة عنه فإنها نعمة تركها "" أو قال : "" كفرها "" رواه أبو داود .( ضعيف ، وآخره – "" من ترك الرمي ... "" صحيح ) .[ فيه : جهالة ، واضطراب ، كما قال الشيخ الألباني "" ضعيف الترغيب "" ( 821 ) ] .",عن عقبة بن عامر الجهني رضي الله عنه قال : سمعت رسول الله صلى الله عليه وسلم ," إن الله يدخل بالسهم الواحد ثلاثة نفر الجنة : صانعه يحتسب في صنعته الخير والرامي به ومنبله وارموا واركبوا وأن ترموا أحب إلي من أن تركبوا ومن ترك الرمي بعد ما علمه رغبة عنه فإنها نعمة تركها "" أو قال : "" كفرها "," رواه أبو داود .( ضعيف ، وآخره – "" من ترك الرمي ... "" صحيح ) .[ فيه : جهالة ، واضطراب ، كما قال الشيخ الألباني "" ضعيف الترغيب "" "," ضعيف ، وآخره – "" من ترك الرمي ... "" صحيح",authentic/non-authentic,كتاب الجهاد,
41,"41- ( 1386 ) عن أبي سعيد الخدري رضي الله عنه عن رسول الله صلى الله عليه وسلم قال : "" لن يشبع مؤمن من خير حتى يكون منتهاه إلى الجنة "" رواه الترمذي وقال : حديث حسن .( ضعيف ) .[ فيه : دراج أبو السمح وهو ضعيف في حديثه عن أبي الهيثم ، وهذه منها ] .",عن أبي سعيد الخدري رضي الله عنه عن رسول الله صلى الله عليه وسلم قال, لن يشبع مؤمن من خير حتى يكون منتهاه إلى الجنة," رواه الترمذي وقال : حديث حسن .( ضعيف ) .[ فيه : دراج أبو السمح وهو ضعيف في حديثه عن أبي الهيثم ، وهذه منها ] .",ضعيف,non-authentic,كتاب العلم,
42,"42- ( 1394 ) عن أبي هريرة رضي الله عنه عن النبي صلى الله عليه وسلم قال : "" كل أمر ذي بال لا يبدأ فيه بالحمد الله فهو أقطع "" حديث حسن رواه أبو داود وغيره . ( ضعيف ) .[ فيه : قرة بن عبد الرحمن المعافري ، وهو منكر الحديث جدّاً ] .",عن أبي هريرة رضي الله عنه عن النبي صلى الله عليه وسلم قال, كل أمر ذي بال لا يبدأ فيه بالحمد الله فهو أقطع," حديث حسن رواه أبو داود وغيره . ( ضعيف ) .[ فيه : قرة بن عبد الرحمن المعافري ، وهو منكر الحديث جدّا",ضعيف,non-authentic,كتاب حمد الله تعالى وشكره,
43,"43- ( 1442 ) عن سعد بن أبي وقاص رضي الله عنه أنه دخل مع رسول الله صلى الله عليه وسلم على امرأة وبين يديها نوى - أو حصى - تسبح به فقال : "" أخبرك بما هو أيسر عليك من هذا - أو أفضل - "" فقال : "" سبحان الله عدد ما خلق في السماء وسبحان الله عدد ما خلق في الأرض وسبحان الله عدد ما بين ذلك وسبحان الله عدد ما هو خالق والله أكبر مثل ذلك والحمد الله مثل ذلك ولا إله إلا الله مثل ذلك ولا حول ولا قوة إلا بالله مثل ذلك "" رواه الترمذي وقال : حديث حسن . ( ضعيف ) .[ فيه : خزيمة ، وهو مجهول ] .",عن سعد بن أبي وقاص رضي الله عنه," أنه دخل مع رسول الله صلى الله عليه وسلم على امرأة وبين يديها نوى - أو حصى - تسبح به فقال : "" أخبرك بما هو أيسر عليك من هذا - أو أفضل - "" فقال : "" سبحان الله عدد ما خلق في السماء وسبحان الله عدد ما خلق في الأرض وسبحان الله عدد ما بين ذلك وسبحان الله عدد ما هو خالق والله أكبر مثل ذلك والحمد الله مثل ذلك ولا إله إلا الله مثل ذلك ولا حول ولا قوة إلا بالله مثل ذلك"," رواه الترمذي وقال : حديث حسن . ( ضعيف ) .[ فيه : خزيمة ، وهو مجهول",ضعيف,non-authentic,باب فضل الذكر والحث عليه,كتاب الأذكار
44,"44- ( 1487 ) عن عمران بن الحصين رضي الله عنهما أن النبي صلى الله عليه وسلم علم أباه حصينا كلمتين يدعو بهما : "" اللهم ألهمني رشدي وأعذني من شر نفسي "" رواه الترمذي وقال : حديث حسن . ( ضعيف ) .[ قال الشيخ الألباني :كذا قال – أي : الترمذي - : ولعله في بعض نسخ الترمذي وإلا ففي نسخ "" بولاق "" : ( حديث غريب ) يعني : ضعيف ، وهو اللائق بحال إسناده ؛ فإن فيه انقطاعا وضعفا ، لا سيما وقد رواه ابن حبان وأحمد من طريق أخرى : "" اللهم قني شر نفسي واعزم على رشدي أمري "" . وسنده صحيح على شرط الشيخين . وروى أحمد عنه صلى الله عليه وسلم أنه قال : "" اللهم اغفر لي ذنبي خطئي وعمدي اللهم إني أستهديك لأرشد أمري وأعوذ بك من شر نفسي "" وسنده جيد ] . ",عن عمران بن الحصين رضي الله عنهما,"ا أن النبي صلى الله عليه وسلم علم أباه حصينا كلمتين يدعو بهما : "" اللهم ألهمني رشدي وأعذني من شر نفسي","رواه الترمذي وقال : حديث حسن . ( ضعيف ) .[ قال الشيخ الألباني :كذا قال – أي : الترمذي - : ولعله في بعض نسخ الترمذي وإلا ففي نسخ "" بولاق "" : ( حديث غريب ) يعني : ضعيف ، وهو اللائق بحال إسناده ؛ فإن فيه انقطاعا وضعفا ، لا سيما وقد رواه ابن حبان وأحمد من طريق أخرى : "" اللهم قني شر نفسي واعزم على رشدي أمري "" . وسنده صحيح على شرط الشيخين . وروى أحمد عنه صلى الله عليه وسلم أنه قال : "" اللهم اغفر لي ذنبي خطئي وعمدي اللهم إني أستهديك لأرشد أمري وأعوذ بك من شر نفسي "" وسنده جيد",ضعيف,non-authentic,كتاب الدعوات,
45,"45- ( 1490 ) عن أبي الدرداء رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم : "" كان من دعاء داود عليه الصلاة والسلام : اللهم إني أسألك حبك وحب من يحبك والعمل الذي يبلغني حبك اللهم اجعل حبك أحب إلي من نفسي وأهلي ومن الماء البارد : "" رواه الترمذي وقال : حديث حسن . ( ضعيف ) .[ فيه : عبد الله بن ربيعة الدمشقي ، وهو مجهول ] .",عن أبي الدرداء رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم, كان من دعاء داود عليه الصلاة والسلام : اللهم إني أسألك حبك وحب من يحبك والعمل الذي يبلغني حبك اللهم اجعل حبك أحب إلي من نفسي وأهلي ومن الماء البارد," رواه الترمذي وقال : حديث حسن . ( ضعيف ) .[ فيه : عبد الله بن ربيعة الدمشقي ، وهو مجهول",ضعيف,non-authentic,كتاب الدعوات,
46,"46- ( 1493 ) عن ابن مسعود رضي الله عنه قال : كان من دعاء رسول الله صلى الله عليه وسلم : "" اللهم إني أسألك موجبات رحمتك وعزائم مغفرتك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار "" رواه الحاكم أبو عبد الله وقال : حديث صحيح على شرط مسلم . ( ضعيف جدّاً ) .[ فيه : حميد الأعرج ، وهو متروك الحديث ] .",عن ابن مسعود رضي الله عنه قال : ," كان من دعاء رسول الله صلى الله عليه وسلم : "" اللهم إني أسألك موجبات رحمتك وعزائم مغفرتك والسلامة من كل إثم والغنيمة من كل بر والفوز بالجنة والنجاة من النار"," رواه الحاكم أبو عبد الله وقال : حديث صحيح على شرط مسلم . ( ضعيف جدّاً ) .[ فيه : حميد الأعرج ، وهو متروك الحديث",ضعيف جدّاً ,non-authentic,كتاب الدعوات,
47,"47- ( 1518 ) عن ابن عمر رضي الله عنهما قال : قال رسول الله صلى الله عليه وسلم : "" لا تكثروا الكلام بغير ذكر الله فإن كثرة الكلام بغير ذكر الله تعالى قسوة للقلب وإن أبعد الناس من الله القلب القاسي "" رواه الترمذي . ( ضعيف ) .[ فيه : إبراهيم بن عبد الله بن حاطب ، وهو مجهول ] .",عن ابن عمر رضي الله عنهما قال : قال رسول الله صلى الله عليه وسلم , لا تكثروا الكلام بغير ذكر الله فإن كثرة الكلام بغير ذكر الله تعالى قسوة للقلب وإن أبعد الناس من الله القلب القاسي," رواه الترمذي . ( ضعيف ) .[ فيه : إبراهيم بن عبد الله بن حاطب ، وهو مجهول ] .",ضعيف,non-authentic,باب تحريم الغيبة والأمر بحفظ اللسان,كتاب الأمور المنهي عنها
48,"48- ( 1539 ) عن ابن مسعود رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم : "" لا يبلغني أحد من أصحابي عن أحد شيئا فإني أحب أن أخرج إليكم وأنا سليم الصدر "" رواه أبو داود والترمذي . ( ضعيف ) .[ فيه الوليد بن أبي هشام ، وهو مجهول ] . ",عن ابن مسعود رضي الله عنه قال : قال رسول الله صلى الله عليه وسلم, لا يبلغني أحد من أصحابي عن أحد شيئا فإني أحب أن أخرج إليكم وأنا سليم الصدر," رواه أبو داود والترمذي . ( ضعيف ) .[ فيه الوليد بن أبي هشام ، وهو مجهول",ضعيف,non-authentic,باب النهي عن نقل الحديث وكلام الناس إلى ولاة الأمور إذا لم تدع حاجة إليه كخوف مفسدة ونحوها,كتاب الأمور المنهي عنها
49,"49- ( 1569 ) عن أبي هريرة رضي الله عنه أن النبي صلى الله عليه وسلم قال : "" إياكم والحسد فإن الحسد يأكل الحسنات كما تأكل النار الحطب "" أو قال : "" العشب "" رواه أبو داود . ( ضعيف ) .[ فيه : جد إبراهيم بن أبي أسيد ، وهو مجهول ] . ",عن أبي هريرة رضي الله عنه أن النبي صلى الله عليه وسلم قال," إياكم والحسد فإن الحسد يأكل الحسنات كما تأكل النار الحطب "" أو قال : "" العشب"," رواه أبو داود . ( ضعيف ) .[ فيه : جد إبراهيم بن أبي أسيد ، وهو مجهول",ضعيف,non-authentic,باب النهي عن التجسس والتسمع لكلام من يكره استماعه,كتاب الأمور المنهي عنها
