No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic
67_2,,"قال وقد ألفيت رواية ابن عباس المسندة يرويها صلاح بإسناده في الحال أبو فروة يزيد بن محمد بن سنان الرهاوي عن عثمان بن عبدالرحمن أبي عبدالرحمن القرشي المعروف بالطرايفي أنه حدثهم حدثنا محمد بن عمر عن مقاتل بن حيان عن عكرمة قال بينما ابن عباس ذات يوم جالساً إذ جاءه رجل فقال يا أبا العباس سمعت اليوم من كعب الأحبار حديثاً ذكر فيه الشمس وزعم أن ابن عمرو قال فيهما قولاً، فقال له ابن عباس وما هو؟ فقال ذكر عن عمرو أنه قال يؤتى بالشمس والقمر يوم القيامة كأنهما ثوران فيقذفان في جهنم قال عكرمة فاحتفز ابن عباس وكان متكئاً وغضب وقال إن اللّه أكرم من أن يعذب على طاعته أحداً ثم قال قال اللّه تبارك وتعالى"" وسخر لكم الشمس والقمر دائبين "" يعني إنهما في طاعته دائبان فكيف يعذب عبدين خلقهما لطاعته وأثنى عليهما أنهما له مطيعان ثم إن ابن عباس استرجع مراراً وأخذ عوداً من الأرض فجعل ينكت به الأرض ساعة ثم رفع رأسه فقال ألا أحدثكم حديثاً سمعته من رسول اللّه صلى اللّه عليه وسلم في الشمس والقمر وابتداء خلقهما فقلنا بلى رحمك اللّه فقال: إن رسول اللّه صلى اللّه عليه وسلم سئل عن ذلك فقال",إن اللّه عز وجل لما أبرم خلقه إحكاماً فلم يبق من خلقه غير آدم خلق شمسين من نور عرشه ,"فذكر الحديث الذي أورده عمر بن صبيح عن مقاتل بن حيان عن عكرمة به على تمام حديث شهر بن حوشب عن حذيفة، انتهى: ما أورده ابن المنادى وهذا الإسناد ما فيه متهم",,non-authentic,‏كتاب المبتدأ
67_3,,وقال ابن مردويه في تفسيره حدثنا عبداللّه بن إسماعيل بن إبراهيم الهاشمي حدثنا محمد بن أحمد بن البراء حدثنا عبدالمنعم بن إدريس عن أبيه عن وهب بن منبه عن ابن عباس عن النبي صلى اللّه عليه وسلم قال,إن اللّه تبارك وتعالى خلق شمسين من نور عرشه فذكر الحديث إلى قوله وليأتينهم بغتة وهم لا يشعرون,وعبدالمنعم كذاب,,non-authentic,‏كتاب المبتدأ
67_4,,قال ابن مردويه أيضاً حدثنا علي بن محمد بن إبراهيم البيع حدثنا عبداللّه بن محمد بن زكريا حدثنا علي بن بشر حدثنا حفص بن عمر الهمذاني الكوفي حدثنا حفص بن معاوية ونوح بن أبي مريم عن مقاتل بن حيان عن عكرمة عن ابن عباس قال ألا أحدثكم بما سمعت من رسول اللّه صلى اللّه عليه وسلم يقول في الشمس والقمر وبدء خلقهما ومصير أمرهما فقلنا بلى يرحمك اللّه فقال إن رسول اللّه سئل عن ذلك فقال,"إن اللّه لما أبرم خلقه أحكاماً فلم يبق من خلقه إلا آدم خلق شمسين من نور عرشه فأما ما كان في سابق علمه أن يدعها شمساً فإنه خلقها مثل الدنيا ما بين مشرقها ومغربها ، وأما ما كان في سابق علمه أن يطمسها ويحولها قمراً فإنه خلقها دون الشمس في العظم ولكن يرى صغرهما من شدة ارتفاعهما في السماء وبعدهما من الأرض فذكر الحديث إلى قوله وليأتينهم بغتة وهم لا يشعرون وزاد عقبة فإذا قامت القيامة وقضى اللّه تعالى بين أهل الدارين وميز بين أهل الجنة والنار ولما يدخلوها بعد إذ يدعو الرب الشمس والقمر فيجاء بهما أسودين مكورين قد وقعا في زلازل وبلابل ترعد فرائصهما من هول ذلك اليوم ومخافة الرحمن، فإذا كانا حيال العرش فيقولان إلهنا قد علمت طاعتنا لك ودؤبنا في عبادتك وسرعتنا للمضي في أمرك أيام الدنيا فلا تعذبنا بعبادة المشركين إيانا فقد علمت أنا لم ندع إلى عبادتنا ولم نذهل عن عبادتك فيقول الرب صدقتما فإني قضيت على نفسي أني أبدئ وأعيد وأعيدكما إلى ما بدأتكما منه فارجعا إلى ما خلقتما منه فيقولان ربنا مم خلقتنا فيقول خلقتكما من نور عرشي فارجعا إليه فيلتمع من كل واحد منهما برقة تختطف الأبصار فيختلطان بنور العرش فذلك قوله تعالى ""إنه هو يبدئ ويعيد""",,,non-authentic,‏كتاب المبتدأ
67_5,,وقال أبو الشيخ في العظمة حدثنا إبراهيم بن محمد بن علي الرازي حدثنا أبو يعقوب إسحق بن أبي حمزة حدثنا حماد بن محمد السلمي أبو القاسم المروزي حدثنا أبو عصمة نوح بن أبي مريم عم مقاتل بن حيان عن عكرمة عن ابن عباس,,فذكره بطوله والزيادة المذكورة إلى قوله فذلك قوله إنه هو يبدئ ويعيد وأما بقية الحديث من هنا إلى آخره فما من جملة منه إلا وقد وردت في حديث أو أحاديث وهو عندي أشبه شيء بحديث الصور الذي رواه إسماعيل بن رافع وتكلموا فيه وقال بعض الحفاظ إنه وردت أجزاؤه مفرقة في عدة أحاديث فجمعها إسماعيل وساقه سياقاً واحداً,,non-authentic,‏كتاب المبتدأ
67_6,,وقد روى ابن مردويه قصة بعثته صلى اللّه عليه وسلم إلى يأجوج ومأجوج من وجه آخر عن نوح فقال حدثنا سليمان بن أحمد حدثنا عبدالرحمن بن حاتم المرادي حدثنا نعيم بن حماد حدثنا نوح بن أبي مريم عن مقاتل بن حيان عن عكرمة عن ابن عباس قال قال رسول اللّه صلى اللّه عليه وسلم,بعثني اللّه تعالى حين أسري بي إلى يأجوج ومأجوج فدعوتهم إلى دين اللّه وعبادته فأبوا أن يجيبوني فهم في النار مع من عصى من ولد آدم وولد إبليس,,,non-authentic,‏كتاب المبتدأ
67_7,,قال البيهقي في دلائل النبوة حدثنا أبو عبداللّه الحافظ حدثنا أبو العباس محمد بن يعقوب حدثنا أحمد بن عبدالجبار حدثنا يونس بن بكير عن أبي معشر المدني عن سعيد المقبري أن عبداللّه بن سلام سأل النبي صلى اللّه عليه وسلم عن السواد الذي في القمر؟ فقال,"إنهما كانا شمسين فقال اللّع تعالى:"" وجعلنا الليل والنهار آيتين فمحونا آية الليل"" فالسواد الذي رأيتموه هو المحو",,,non-authentic,‏كتاب المبتدأ
67_8,,"وقال ابن مردويه حدثنا محمد بن أحمد بن إبراهيم حدثنا أبو يحيى حدثنا سهل حدثنا أبو مالك عن حجاج عن سلمة عن أبي الطفيل عن علي في قوله وجعلنا الليل والنهار آيتين إلى آخر الآية ، قال ",كان الليل والنهار سواء فمحا اللّه آية الليل فجعلها مظلمة وترك آية النهار,كما هي وورد نحوه عن ابن عباس وعكرمة ومحمد بن كعب القرظي وغيرهم, إسناده صحيح,authentic,‏كتاب المبتدأ
67_9,,قال ابن أبي حاتم في تفسيره عن عبداللّه بن مسعود قال أتينا النبي صلى اللّه عليه وسلم يوماً فقال,أيسركم أنكم ربع أهل الجنة قلنا نعم قال أيسركم أنكم ثلث أهل الجنة قلنا نعم قال والذي نفسي بيده إني لأرجو أن تكونوا نصف أهل الجنة إن مثلكم في سائر الأمم كمثل شعرة بيضاء في جنب ثور أسود إن بعدكم يأجوج ومأجوج إن الرجل ليترك بعده من الذرية ألفاً فما زاد وإن وراءهم ثلاث أمم منسك وتأويل وتاريس لا يعلم عدتهم إلا اللّه تعالى,,,non-authentic,‏كتاب المبتدأ
67_10,,وقال الطبراني حدثنا عبداللّه بن محمد بن العباس الأصبهاني حدثنا أبو مسعود أحمد بن الفرات حدثنا أبو داود الطيالسي حدثنا المغيرة بن مسلم عن أبي إسحق عن وهب بن جابر عن عبداللّه بن عمرو عن النبي صلى اللّه عليه وسلم قال,إن يأجوج ومأجوج من ولد آدم ولو أرسلوا لأفسدوا على الناس معايشهم ولم يمت منهم رجل إلا ترك من دونه ألفاً وصاعداً وإن من ورائهم ثلاث أمم تأويل وتاريس ومنسك,أخرجه عبد بن حميد وابن المنذر وابن مردويه في تفاسيرهم والبيهقي,,non-authentic,‏كتاب المبتدأ
67_11,,"قال ابن الفريابي في تفسيره حدثنا سفيان عن منصور عن أبي الضحى عن مسروق عن ابن مسعود في قوله تعالى:"" يوم يأت بعض آيات ربك"" قال",طلوع الشمس مع القمر من مغربها كالبعيرين القرنين, إسناده صحيح,,non-authentic,‏كتاب المبتدأ
67_12,,قال ابن مردويه حدثنا محمد بن علي بن سهل حدثنا محمد بن يوسف الرازي حدثنا إدريس بن علي الرازي حدثنا يحيى بن الضريس حدثنا سفيان عن منصور عن ربعي عن حذيفة قال سألت النبي صلى اللّه عليه وسلم فقلت يا رسول اللّه ما آية طلوع الشمس من مغربها قال,تطول تلك الليلة حتى تكون قدر ليلتين فيقوم المصلون لحينهم الذي كانوا يصلون فيه فيعملون كما يعملون قبلها والنجوم لا تسري قد قامت مكانها ثم يرقدون ثم يقومون فيصلون ثم يرقدون ثم يقومون فتكل جنوبهم حتى يتطاول عليهم الليل فيفزع الناس ولا يصبحون فبينما هم ينتظرون طلوع الشمس من مشرقها إذ طلعت من مغربها فإذا رآها الناس آمنوا فلا ينفعهم إيمانهم ,,,non-authentic,‏كتاب المبتدأ
67_13,,وقال ابن مردويه حدثنا محمد بن علي بن دحيم حدثنا أحمد بن حازم أنبأنا ضرار ابن صرد حدثنا ابن فضيل عن سليمان بن يزيد عن عبداللّه بن أبي أوفى سمعت رسول اللّه صلى اللّه عليه وسلم يقول,ليأتين على الناس ليلة تعدل ثلاث ليال من لياليكم هذه فإذا كان ذلك يعرفها المتقون يقوم أحدهم فيقرأ حزبه ثم ينام فبينما هم كذلك ماج الناس بعضهم في بعض وقالوا ما هذه؟ فيفزعون إلى المساجد فإذا هم بالشمس قد طلعت من مغربها حتى إذا صارت في وسط السماء رجعت وطلعت من مطلعها ,,موضوع,non-authentic,‏كتاب المبتدأ
67_14,,وقال ابن مردويه حدثنا أحمد بن كامل حدثنا محمد بن سعد العوفي حدثني أبي عن أبيه عن ابن عباس قال خرج رسول اللّه صلى اللّه عليه وسلم عشية من العشيات فقال لهم,"يا عباد اللّه توبوا إلى اللّه فإنكم توشكوا أن ترد الشمس من قبل المغرب فإذا فعلت ذلك حبست التوبة وطوي العمل وختم الإيمان فقال الناس هل لذلك من آية يا رسول اللّه؟ فقال آية تلكم الليلة أن تطول كقدر ثلاث ليال فيستيقظ الذين يخشون ربهم فيصلون صلاتهم والليل مكانه لم ينقض، ثم يأتون مضاجعهم فيضطجعون حتى إذا استيقظوا والليل مكانه فإذا رأوا ذلك خافوا أن يكون ذلك بين يدي أمر عظيم فإذا أصبحوا ثارت عليهم طلوع الشمس فبينما هم ينتظرونها إذ طلعت عليهم من قبل المغرب،",,موضوع,non-authentic,‏كتاب المبتدأ
67_15,,وقال أبو الشيخ في العظمة حدثنا الوليد بن أبان عن أبي حاتم حدثنا محمد بن عمران حدثني أبي حدثني ابن أبي ليلى عن إسمعيل بن رجاء عن سعد بن أياس أبي عمر الشيباني عن عبداللّه بن مسعود قال,"أن الشمس إذا غربت سجدت تحت العرش فإذا حضر طلوعها سجدت ثم استأذنت فيؤذن لها فإذا كان اليوم الذي تحبس فيه سجدت ثم استأذنت فيقال لها اثبتي فتحبس مقدار ليلتين ويفزع لها المتهجدون، وينادي الرجل تلك الليلة جاره يا فلان ما شأننا الليلة لقد نمت حتى شبعت وصليت حتى أعييت ثم يقال لها اطلعي من حيث غربت",أخرجه البيهقي في البعث واللّه أعلم,,non-authentic,‏كتاب المبتدأ
68,"(ابن عدي) حدثنا محمد بن الحسن البصري حدثنا علي بن بحر أنبأنا علي بن أبي علي اللهبي عن محمد بن المنكدر عن جابر مرفوعاً إن للّه ديكاً عنقه مطوية تحت العرش ورجلاه تحت التخوم فإذا كانت هدة من الليل صاح سبوح قدوس فصاحت الديكة، موضوع: علي بن أبي علي متروك يروي الموضوعات لا يحتج به (قلت) لم يتهم بوضع وقد أخرجه البيهقي في شعب الإيمان وتفرد بهذا الإسناد علي بن أبي علي اللهبي وكان ضعيفاً قال وروى عن زهدم بن الحارث عن العرس بن عميرة عن النبي صلى اللّه عليه وسلم أتم منه انتهى واللّه أعلم.‏",حدثنا محمد بن الحسن البصري حدثنا علي بن بحر أنبأنا علي بن أبي علي اللهبي عن محمد بن المنكدر عن جابر مرفوعاً,إن للّه ديكاً عنقه مطوية تحت العرش ورجلاه تحت التخوم فإذا كانت هدة من الليل صاح سبوح قدوس فصاحت الديكة,موضوع: علي بن أبي علي متروك يروي الموضوعات لا يحتج به (قلت) لم يتهم بوضع وقد أخرجه البيهقي في شعب الإيمان وتفرد بهذا الإسناد علي بن أبي علي اللهبي وكان ضعيفاً قال وروى عن زهدم بن الحارث عن العرس بن عميرة عن النبي صلى اللّه عليه وسلم أتم منه انتهى واللّه أعلم,صحيح الإسناد,non-authentic,‏كتاب المبتدأ
69_1,"(ابن عدي) حدثنا علي بن إبراهيم بن الهيثم حدثنا أحمد بن علي بن الأفطح حدثنا يحيى بن زهدم بن الحارث الغفاري عن أبيه عن العرس بن عميرة مرفوعاً إن للّه تعالى ديكاً براثنه فيب الأرض السفلى وعرفه تحت العرش يصرخ عند مواقيت الصلاة ويصرخ له ديك السموات سماء سماء ثم يصرخ بصراخ ديك السموات ديكة الأرض سبوح قدوس رب الملائكة والروح، موضوع: يحيى قال ابن حبان روى عن أبيه نسخة موضوعة لا يحل كتبها إلا على جهة التعجب (قلت) خالفه غيره وقال ابن عدي هو من أهل المغرب حدث عنه ابنه وغيره وأرجو أنه لا بأس به، وقال ابن أبي حاتم كتب عنه أبي وسئل عنه فقال شيخ أرجو أن يكون صدوقاً وللحديث شواهد من طرق متعددة، قال أبو الشيخ في العظمة حدثنا محمد بن العباس حدثنا الحسن بن الربيع حدثنا عبدالعزيز بن عبدالوارث حدثنا حرب بم سريح حدثتنا زينب بنت يزيد العتكية قالت كنا عند عائشة رضي اللّه تعالى عنها فقالت سمعت رسول اللّه صلى اللّه عليه وسلم يقول إن للّه عز وجل ديكاً رجلاه تحت سبع أرضين ورأسه قد جاوز سبع سموات يسبح في أوقات الصلاة فلا يبقى ديك من ديكة الأرض إلا أجابه حدثنا محمد بن العباس حدثنا الفضل بن سهل حدثنا إسحق بن منصور السلولي حدثنا إسرائيل عن معاوية بن إسحق عن سعيد بن أبي سعيد عن أبي هريرة قال قال رسول اللّه صلى اللّه عليه وسلم إن للّه عز وجل أذن لي أن أحدث عن ديك قد مرقت رجلاه الأرض ورأسه مثنية تحت العرش وهو يقول سبحانك ما أعظمك ربنا فيرد عليه ما يعلم ذلك من حلف بي كاذباً أخرجه الطبراني في الأوسط عن محمد بن العباس به وأخرجه الحاكم في المستدرك من طريق عبيد اللّه بن موسى عن إسرائيل بن موسى به وقال صحيح الإسناد، حدثنا إبراهيم بن محمد بن الحسن حدثنا عيسى بن يونس الرملي حدثنا أيوب بن سويد عن إدريس يعني الأودي عن عمرو بن مرة عن سالم عن ثوبان قال قال رسول اللّه صلى اللّه عليه وسلم إن للّه عز وجل ديكاً براثنه في الأرض السفلى وعنقه مثني تحت العرش وجناحاه في الهواء يخفق بهما بسحر كل ليلة سبحوا القدوس ربنا لا إله غيره، أيوب روى له أبو داود والترمذي وابن ماجه وضعفه أحمد وجماعة وباقي رجال الإسناد تقدمت حدثنا أحمد بن روح حدثنا محمد بن داود وعلي بن داود القنطريان قالا حدثنا عبداللّه بن صالح حدثني رشدين بن سعد عن الحسن بن ثوبان عن يزيد بن أبي حبيب عن سالم بن عبداللّه بن عمر عن أبيه قال قال رسول اللّه صلى اللّه عليه وسلم إن للّه عز وجل ديكاً جناحاه موشيان بالزبرجد واللؤلؤ والياقوت جناح له في المشرق وجناح له في المغرب وقوائمه في الأرض السفلى ورأسه مثني تحت العرش فإذا كان في السحر الأعلى خفق بجناحه ثم قال سبوح قدوس ربنا لا إله غيره فعند ذلك تضرب الديكة بأجنحتها وتصيح فإذا كان يوم القيامة قال اللّه تعالى له ضم جناحيك وغض صوتك فيعلم أهل السماء والأرض أن الساعة قد اقتربت، رجاله ثقات سوى رشدين وقد روى له الترمذي وابن ماجه وكان رجلاً عابداً صالحاً سيء الحفظ، حدثنا جعفر بن أحمد بن فارس حدثنا بن حميد حدثنا أسلمة بن الفضل حدثني ابن إسحق عن منصور بن المعتمر عن سالم بن أبي الجعد عن كريب عن ابن عباس رفع الحديث أن رسول اللّه صلى اللّه عليه وسلم قال: إن مما خلق اللّه تبارك ديكاً براثنه على الأرض السابعة وعرفه منطو تحت العرش قد أحاط جناحاه بالأفقين فإذا بقي ثلث الليل الآخر ضرب بجناحه ثم قالوا سبحوا الملك القدوس سبحان ربنا الملك القدوس لا إله لنا غيره فيسمعها من بين الخافقين إلا الثقلين فيرون أن الديكة إنما تضرب بأجنحتها وتصرخ إذا سمعت ذلك هذا حديث حسن صحيح أخرجه الطبراني في الأوسط حدثنا أحمد بن روح حدثني محمد بن عبداللّه الطرسوسي حدثنا عثمان بن النضر المدني عن الكلبي عن أبي صالح عن ابن عباس قال إن للّه تعالى ديكاً في السماء الدنيا كلكله من ذهب أصفر وبطنه من فضة بيضاء وقوائمه من ياقوتة حمراء براثنه من زمرد أخضر، براثنه تحت الأرض السفلى جناح له بالمشرق وجناح له بالمغرب عنقه تحت الهرش وعرفه من نور حجاب ما بين العرش والكرسي يخفق بجناحه كل ليلة ثلاث مرات حدثنا جعفر بن أحمد حدثنا عبدالرحمن بن عمر حدثنا يوسف بن مهران حدثنا عبدالرحمن رجل من أهل الكوفة قال بلغني أن تحت العرش ملكاً في صورة ديك براثنه من لؤلؤ وصيصته من زبرجد أخضر فإذا مضى ثلث الليل الأول ضرب بجناحه وزقا وقال ليقم المتهجدون فإذا مضى ثلث الليل ضرب بجناحه وقال ليقم المصلون، فإذا طلع الفجر ضرب بجناحه وزقا وقال ليقم النائمون وعليهم أوزارهم حدثنا جعفر بن أحمد حدثنا سلمة فيما أحسب حدثنا المغيرة حدثنا أبو بكر بن أبي مريم حدثني أبو سفيان قال إن للّه تعالى ملكاً في السماء يقال له الديك فإذا سبح في السماء سبحت الديوك في الأرض يقولون سبحان اللّه السبوح القدوس الرحمن الملك الديان الذي لا إله إلا هو فما قالها مكروب أو مريض إلا كشف اللّه تعالى همه. وقال الطبراني عن صفوان بن عسال قال إن للّه عز وجل ديكاً رأسه تحت العرش وجناحه في الهواء براثنه في الأرض فإذا كان في الأسحار وأذان الصلوات خفق بجناحه وصفق بالتسبيح فتسبح الديكة تجيبه بالتسبيح واللّه أعلم.‏",حدثنا علي بن إبراهيم بن الهيثم حدثنا أحمد بن علي بن الأفطح حدثنا يحيى بن زهدم بن الحارث الغفاري عن أبيه عن العرس بن عميرة مرفوعا,إن للّه تعالى ديكاً براثنه فيب الأرض السفلى وعرفه تحت العرش يصرخ عند مواقيت الصلاة ويصرخ له ديك السموات سماء سماء ثم يصرخ بصراخ ديك السموات ديكة الأرض سبوح قدوس رب الملائكة والروح,موضوع: يحيى قال ابن حبان روى عن أبيه نسخة موضوعة لا يحل كتبها إلا على جهة التعجب (قلت) خالفه غيره وقال ابن عدي هو من أهل المغرب حدث عنه ابنه وغيره وأرجو أنه لا بأس به وقال ابن أبي حاتم كتب عنه أبي وسئل عنه فقال شيخ أرجو أن يكون صدوقاً وللحديث شواهد من طرق متعددة,,non-authentic,‏كتاب المبتدأ
69_2,,قال أبو الشيخ في العظمة حدثنا محمد بن العباس حدثنا الحسن بن الربيع حدثنا عبدالعزيز بن عبدالوارث حدثنا حرب بم سريح حدثتنا زينب بنت يزيد العتكية قالت كنا عند عائشة رضي اللّه تعالى عنها فقالت سمعت رسول اللّه صلى اللّه عليه وسلم يقول,إن للّه عز وجل ديكاً رجلاه تحت سبع أرضين ورأسه قد جاوز سبع سموات يسبح في أوقات الصلاة فلا يبقى ديك من ديكة الأرض إلا أجابه,,,non-authentic,‏كتاب المبتدأ
69_3,,حدثنا محمد بن العباس حدثنا الفضل بن سهل حدثنا إسحق بن منصور السلولي حدثنا إسرائيل عن معاوية بن إسحق عن سعيد بن أبي سعيد عن أبي هريرة قال قال رسول اللّه صلى اللّه عليه وسلم,إن للّه عز وجل أذن لي أن أحدث عن ديك قد مرقت رجلاه الأرض ورأسه مثنية تحت العرش وهو يقول سبحانك ما أعظمك ربنا فيرد عليه ما يعلم ذلك من حلف بي كاذباً ,أخرجه الطبراني في الأوسط عن محمد بن العباس به وأخرجه الحاكم في المستدرك من طريق عبيد اللّه بن موسى عن إسرائيل بن موسى به وقال صحيح الإسناد,حسن صحيح,authentic,‏كتاب المبتدأ
69_4,,حدثنا إبراهيم بن محمد بن الحسن حدثنا عيسى بن يونس الرملي حدثنا أيوب بن سويد عن إدريس يعني الأودي عن عمرو بن مرة عن سالم عن ثوبان قال قال رسول اللّه صلى اللّه عليه وسلم,إن للّه عز وجل ديكاً براثنه في الأرض السفلى وعنقه مثني تحت العرش وجناحاه في الهواء يخفق بهما بسحر كل ليلة سبحوا القدوس ربنا لا إله غيره,أيوب روى له أبو داود والترمذي وابن ماجه وضعفه أحمد وجماعة وباقي رجال الإسناد تقدمت ,,non-authentic,‏كتاب المبتدأ
69_5,,حدثنا أحمد بن روح حدثنا محمد بن داود وعلي بن داود القنطريان قالا حدثنا عبداللّه بن صالح حدثني رشدين بن سعد عن الحسن بن ثوبان عن يزيد بن أبي حبيب عن سالم بن عبداللّه بن عمر عن أبيه قال قال رسول اللّه صلى اللّه عليه وسلم,ن للّه عز وجل ديكاً جناحاه موشيان بالزبرجد واللؤلؤ والياقوت جناح له في المشرق وجناح له في المغرب وقوائمه في الأرض السفلى ورأسه مثني تحت العرش فإذا كان في السحر الأعلى خفق بجناحه ثم قال سبوح قدوس ربنا لا إله غيره فعند ذلك تضرب الديكة بأجنحتها وتصيح فإذا كان يوم القيامة قال اللّه تعالى له ضم جناحيك وغض صوتك فيعلم أهل السماء والأرض أن الساعة قد اقتربت,"رجاله ثقات سوى رشدين وقد روى له الترمذي وابن ماجه وكان رجلاً عابداً صالحاً سيء الحفظ،",,non-authentic,‏كتاب المبتدأ
69_6,,دثنا جعفر بن أحمد بن فارس حدثنا بن حميد حدثنا أسلمة بن الفضل حدثني ابن إسحق عن منصور بن المعتمر عن سالم بن أبي الجعد عن كريب عن ابن عباس رفع الحديث أن رسول اللّه صلى اللّه عليه وسلم قال,إن مما خلق اللّه تبارك ديكاً براثنه على الأرض السابعة وعرفه منطو تحت العرش قد أحاط جناحاه بالأفقين فإذا بقي ثلث الليل الآخر ضرب بجناحه ثم قالوا سبحوا الملك القدوس سبحان ربنا الملك القدوس لا إله لنا غيره فيسمعها من بين الخافقين إلا الثقلين فيرون أن الديكة إنما تضرب بأجنحتها وتصرخ إذا سمعت ذلك,هذا حديث حسن صحيح أخرجه الطبراني في الأوسط,,non-authentic,‏كتاب المبتدأ
69_7,,حدثنا أحمد بن روح حدثني محمد بن عبداللّه الطرسوسي حدثنا عثمان بن النضر المدني عن الكلبي عن أبي صالح عن ابن عباس قال,"إن للّه تعالى ديكاً في السماء الدنيا كلكله من ذهب أصفر وبطنه من فضة بيضاء وقوائمه من ياقوتة حمراء براثنه من زمرد أخضر، براثنه تحت الأرض السفلى جناح له بالمشرق وجناح له بالمغرب عنقه تحت الهرش وعرفه من نور حجاب ما بين العرش والكرسي يخفق بجناحه كل ليلة ثلاث مرات",,,non-authentic,‏كتاب المبتدأ
69_8,,حدثنا جعفر بن أحمد حدثنا عبدالرحمن بن عمر حدثنا يوسف بن مهران حدثنا عبدالرحمن رجل من أهل الكوفة قال بلغني أن,"تحت العرش ملكاً في صورة ديك براثنه من لؤلؤ وصيصته من زبرجد أخضر فإذا مضى ثلث الليل الأول ضرب بجناحه وزقا وقال ليقم المتهجدون فإذا مضى ثلث الليل ضرب بجناحه وقال ليقم المصلون، فإذا طلع الفجر ضرب بجناحه وزقا وقال ليقم النائمون وعليهم أوزارهم",,,non-authentic,‏كتاب المبتدأ
69_9,,حدثنا جعفر بن أحمد حدثنا سلمة فيما أحسب حدثنا المغيرة حدثنا أبو بكر بن أبي مريم حدثني أبو سفيان قال,إن للّه تعالى ملكاً في السماء يقال له الديك فإذا سبح في السماء سبحت الديوك في الأرض يقولون سبحان اللّه السبوح القدوس الرحمن الملك الديان الذي لا إله إلا هو فما قالها مكروب أو مريض إلا كشف اللّه تعالى همه,,موضوع,non-authentic,‏كتاب المبتدأ
69_10,,وقال الطبراني عن صفوان بن عسال قال,إن للّه عز وجل ديكاً رأسه تحت العرش وجناحه في الهواء براثنه في الأرض فإذا كان في الأسحار وأذان الصلوات خفق بجناحه وصفق بالتسبيح فتسبح الديكة تجيبه بالتسبيح,,موضوع,non-authentic,‏كتاب المبتدأ
70,(ابن حبان) حدثنا محمد بن سدوس النسوي حدثنا حميد بن زنجويه حدثنا محمد بن خداش حدثنا علي بن قتيبة عن ميسرة بن عبد ربه عن عمر بن سليمان الدمشقي عن الضحاك عن ابن عباس مرفوعاً لما أسري بي إلى السماء رأيت فيها أعاجيب من عباد اللّه وخلقه ومن ذلك الذي رأيت في السماء ديك له زغب أخضر وريش أبيض بياض ريشه كأشد بياض رأيته قط وزغبه تحت ريشه أخضر كأشد خضرة رأيتها قط وإذا رجلاه في تخوم الأرض السابعة السفلى ورأسه تحت عرش الرحمن ثاني عنقه تحت العرش له جناحان في منكبيه إذا نشرهما جاوزا المشرق والمغرب فإذا كان في بعض الليل نشر جناحيه وخفق بهما وصرخ بالتسبيح للّه يقول سبحان الملك القدوس سبحان الكبير المتعال لا إله إلا هو الحي القيوم فإذا فعل ذلك سبحت ديكة الأرض كلها وخفقت بأجنحتها وأخذت في الصراخ فإذا سكن ذلك الديك في السماء سكنت الديكة في الأرض.,حدثنا محمد بن سدوس النسوي حدثنا حميد بن زنجويه حدثنا محمد بن خداش حدثنا علي بن قتيبة عن ميسرة بن عبد ربه عن عمر بن سليمان الدمشقي عن الضحاك عن ابن عباس مرفوعاً,لما أسري بي إلى السماء رأيت فيها أعاجيب من عباد اللّه وخلقه ومن ذلك الذي رأيت في السماء ديك له زغب أخضر وريش أبيض بياض ريشه كأشد بياض رأيته قط وزغبه تحت ريشه أخضر كأشد خضرة رأيتها قط وإذا رجلاه في تخوم الأرض السابعة السفلى ورأسه تحت عرش الرحمن ثاني عنقه تحت العرش له جناحان في منكبيه إذا نشرهما جاوزا المشرق والمغرب فإذا كان في بعض الليل نشر جناحيه وخفق بهما وصرخ بالتسبيح للّه يقول سبحان الملك القدوس سبحان الكبير المتعال لا إله إلا هو الحي القيوم فإذا فعل ذلك سبحت ديكة الأرض كلها وخفقت بأجنحتها وأخذت في الصراخ فإذا سكن ذلك الديك في السماء سكنت الديكة في الأرض.,,موضوع,non-authentic,‏كتاب المبتدأ
