No.,Full Hadith,Isnad,Matan,Author's Comments,Degree,Authenticity,Topic
118,118- الجزاء من جنس العمل لم يرد هكذا ولكن معناه صحيح ففي التنزيل هَلْ جَزَاءُ الإِحْسَانِ إِلا الإحْسَانُ الرحمن60 وفي الحديث كما تدين تدان إلى غير ذلك ,,الجزاء من جنس العمل,لم يرد هكذا ولكن معناه صحيح ففي التنزيل هَلْ جَزَاءُ الإِحْسَانِ إِلا الإحْسَانُ الرحمن60 وفي الحديث كما تدين تدان إلى غير ذلك ,,non-authentic, باب الجيم 
119,119- جعلني الله فداك قاله أبو طلحة للنبي وكذلك أبو ذر ,,جعلني الله فداك,قاله أبو طلحة للنبي وكذلك أبو ذر ,,non-authentic, باب الجيم 
120_1,120- جهد المقل دموعه ليس بحديث نعم جاء عن أبي الجد الحثيث ج:1 ص:82 هريرة قيل يا رسول الله أي الصدقة أفضل قال جهد المقل وابدأ بمن تعول ,,جهد المقل دموعه, ليس بحديث نعم , ليس بحديث,non-authentic, باب الجيم 
120_2,, جاء عن أبي,, الجد الحثيث ج:1 ص:82,,non-authentic, باب الجيم 
120_3,,هريرة قيل, يا رسول الله أي الصدقة أفضل قال جهد المقل وابدأ بمن تعول,,,unknown, باب الجيم 
121,121- جور الترك ولا عدل العرب لا أصل له كيف وقد جعل الله النبوة والخلافة في قريش وهم سادات العرب ,,جور الترك ولا عدل العرب,لا أصل له كيف وقد جعل الله النبوة والخلافة في قريش وهم سادات العرب ,,non-authentic, باب الجيم 
122,122- الجوع كافر وقاتله من أهل الجنة قال الجد لعله من وضع السؤال الجد الحثيث ج:1 ص:83 ,,الجوع كافر وقاتله من أهل الجنة,قال الجد لعله من وضع السؤال الجد الحثيث ج:1 ص:83 ,,non-authentic, باب الجيم 
123,123- الحاجة على قدر الرسول ليس بحديث ,,الحاجة على قدر الرسول,ليس بحديث ,ليس بحديث ,non-authentic, باب الحاء
124_1,124- الحبيب لا يعذب حبيبه لم يرد بهذا اللفظ ولكن في الحديث لما قيل له عن امرأة ما كانت هذه لتلقي ولدها في النار فقال لا والله ولا يلقي حبيب حبيبه في النار وعن الحسن مرسلا والله لا يعذب الله حبيبه ولكن قد يبتليه في الدنيا وفي التنزيل وَقَالتِ اليَهُودُ وَالنَصَارَى نَحْنُ أَبْناؤا اللهِ وَأَحِباؤُهُ المائدة18 الجد الحثيث ج:1 ص:84 ,,الحبيب لا يعذب حبيبه,لم يرد بهذا اللفظ ولكن في الحديث لما قيل له عن,,non-authentic, باب الحاء
124_2,,, امرأة ما كانت هذه لتلقي ولدها في النار فقال لا والله ولا يلقي حبيب حبيبه في النار ,,,unknown, باب الحاء
124_3,, وعن الحسن مرسلا, والله لا يعذب الله حبيبه ولكن قد يبتليه في الدنيا وفي التنزيل وَقَالتِ اليَهُودُ وَالنَصَارَى نَحْنُ أَبْناؤا اللهِ وَأَحِباؤُهُ,المائدة18 الجد الحثيث ج:1 ص:84,,unknown, باب الحاء
125_1,125- حب الوطن من الإيمان ليس بحديث لكن روى ابن أبي حاتم عن الضحاك قال لما خرج من مكة فبلغ الجحفة اشتاق إلى مكة فأنزل الله تعالى إِنَّ الذِي فَرَضَ عَلَيْكَ القرآنَ لَرَادُكَ إِلى مَعَادٍ القصص85 قال إلى مكة وقال الأصمعي سمعت أعرابيا يقول إذا أردت أن تعرف الرجل فانظر كيف تحننه إلى أوطانه وشوقه إلى إخوانه وبكاؤه على ما مضى من زمانه ,, حب الوطن من الإيمان,ليس بحديث لكن,ليس بحديث,non-authentic, باب الحاء
125_2,,روى ابن أبي حاتم عن الضحاك قال, لما خرج من مكة فبلغ الجحفة اشتاق إلى مكة فأنزل الله تعالى إِنَّ الذِي فَرَضَ عَلَيْكَ القرآنَ لَرَادُكَ إِلى مَعَادٍ القصص85 قال إلى مكة,,,unknown, باب الحاء
125_3,, وقال الأصمعي, سمعت أعرابيا يقول إذا أردت أن تعرف الرجل فانظر كيف تحننه إلى أوطانه وشوقه إلى إخوانه وبكاؤه على ما مضى من زمانه ,,,unknown, باب الحاء
126_1,126- حب الوطن قتال ليس بحديث وفي معناه ما قاله الأصمعي قالت الهند ثلاث خصال في ثلاثة أصناف من الحيوان الإبل تحن إلى أوطانها وإن كان عهدها بعيدا والطير إلى وكره وإن كان موضعه مجدبا والإنسان إلى وطنه وإن كان غيره أكثر نفعا ,,حب الوطن قتال,ليس بحديث وفي معناه,,non-authentic, باب الحاء
126_2,, ما قاله الأصمعي قالت, الهند ثلاث خصال في ثلاثة أصناف من الحيوان الإبل تحن إلى أوطانها وإن كان عهدها بعيدا والطير إلى وكره وإن كان موضعه مجدبا والإنسان إلى وطنه وإن كان غيره أكثر نفعا ,,,non-authentic, باب الحاء
127,127- الحسد في الجيران من كلام بشر الحافي -رضي الله عنه- الجد الحثيث ج:1 ص:85 ,,الحسد في الجيران,من كلام بشر الحافي -رضي الله عنه- الجد الحثيث ج:1 ص:85 ,,non-authentic, باب الحاء
128,128- حسنات الأبرار سيئات المقربين من كلام أبي سعيد الخراز وحكي عن ذي النون ,,حسنات الأبرار سيئات المقربين,من كلام أبي سعيد الخراز وحكي عن ذي النون ,,non-authentic, باب الحاء
129,129- الحسن مرحوم من كلام أبي حازم التابعي ,,الحسن مرحوم,من كلام أبي حازم التابعي ,,non-authentic, باب الحاء
130,130- الحسود لا يسود ليس بحديث نعم حكي عن ذي النون ,,الحسود لا يسود,ليس بحديث نعم حكي عن ذي النون ,ليس بحديث,non-authentic, باب الحاء
131_1,131- الحظ خير من مال مجموع قال الجد لم أجد له أصلا في المرفوع وعند أبي نعيم عن ربيعةبن عبد الرحمن شبر حظ خير من باع علم ,, الحظ خير من مال مجموع,قال الجد لم أجد له أصلا في المرفوع,,non-authentic, باب الحاء
131_2,,وعند أبي نعيم عن ربيعةبن عبد الرحمن, شبر حظ خير من باع علم,,,non-authentic, باب الحاء
132_1,132- حفيظة رمضان وهي لا آلاء إلا آلاؤك يا الله إنك الجد الحثيث ج:1 ص:86 سميع عليم محيط به علمك وبالحق أنزلناه وبالحق نزل فهذه اشتهر بمكة واليمن والمغرب أنها حفيظة رمضان تحفظ من السرق والغرق والحرق وسائر الآفات وتكتب في آخر جمعة منه جمهورهم يكتبونها والخطيب يخطب وبعضهم بعد صلاة العصر وهي بدعة لا أصل لها وإن وقعت في كلام بعض الأكابر وأشعر كلام بعضهم أنها وردت في خبر أو أثر ضعيف وممن أنكرها القمولي وقال إنها من البدع المنكرة وكان ابن حجر ينكرها جدا حتى وهو على المنبر في أثناء الخطبة حين يرى من يكتبها ,,حفيظة رمضان وهي لا آلاء إلا آلاؤك يا الله إنك,الجد الحثيث ج:1 ص:86 ,,non-authentic, باب الحاء
132_2,,,سميع عليم محيط به علمك وبالحق أنزلناه وبالحق نزل فهذه اشتهر بمكة واليمن والمغرب أنها حفيظة رمضان تحفظ من السرق والغرق والحرق وسائر الآفات وتكتب في آخر جمعة منه جمهورهم يكتبونها والخطيب يخطب وبعضهم بعد صلاة العصر,وهي بدعة لا أصل لها وإن وقعت في كلام بعض الأكابر وأشعر كلام بعضهم أنها وردت في خبر أو أثر ضعيف وممن أنكرها القمولي وقال إنها من البدع المنكرة وكان ابن حجر ينكرها جدا حتى وهو على المنبر في أثناء الخطبة حين يرى من يكتبها ,,non-authentic, باب الحاء
133_1,133- حكمي على الواحد حكمي على الجماعة قال العراقي لا أصل له وفي معناه ما في حديث أميمة ابنة رقيقة ما قولي لامرأة واحدة إلا كقولي لمائة امرأة الجد الحثيث ج:1 ص:87 ,,حكمي على الواحد حكمي على الجماعة,قال العراقي لا أصل له وفي معناه ما في حديث,لا أصل له,non-authentic, باب الحاء
133_2,, أميمة ابنة رقيقة, ما قولي لامرأة واحدة إلا كقولي لمائة امرأة, الجد الحثيث ج:1 ص:87 ,,non-authentic, باب الحاء
134,134- الحكم للغائب هو من القواعد ما لم يعارضه أصل وليس بحديث ,,الحكم للغائب,هو من القواعد ما لم يعارضه أصل وليس بحديث ,ليس بحديث ,non-authentic, باب الحاء
135,135- الحمية رأس الدواء لا يصح رفعه حديثا ,,الحمية رأس الدواء,لا يصح رفعه حديثا ,لا يصح,non-authentic, باب الحاء
136,136- حين تقلي تدري ليس بحديث وإنما هو مثل ذكره أبو عبيد وغيره بلفظ حين تقلين تدرين قال السخاوي ويشير إليهقوله تعالى يَعْلَمُونَ حِينَ يَرَوْنَ العَذَابَ مَنْ أَضَلَ سَبِيلاً الفرقان42 قلت وكذلك قوله تعالى وَسَيَعْلَمُ الذِينَ ظَلَمُوا الشعراء227 ,,حين تقلي تدري,ليس بحديث وإنما هو مثل ذكره أبو عبيد وغيره بلفظ حين تقلين تدرين قال السخاوي ويشير إليهقوله تعالى يَعْلَمُونَ حِينَ يَرَوْنَ العَذَابَ مَنْ أَضَلَ سَبِيلاً الفرقان42 قلت وكذلك قوله تعالى وَسَيَعْلَمُ الذِينَ ظَلَمُوا الشعراء227 ,ليس بحديث ,non-authentic, باب الحاء
137_1,137- الحي أفضل من الميت ليس بحديث ولا يصح معناه الجد الحثيث ج:1 ص:88 على الإطلاق بل إن أريد به أن الحي إذا ساوى الميت في فضل كالإسلام والعلم كان الحي أفضل منه بما يكتسبه بعد من الأعمال والفضائل وإليه يشير ما جاء بسند رجاله رجال الصحيح عن طلحة أن نفرا من بني عذرة -ثلاثة- أتوا النبي فأسلموا فقال النبي من يكفينهم قال طلحة أنا فكانوا عند طلحة فبعث النبي بعثا فخرج فيه أحدهم فاستشهد ثم بعث بعثا فخرج فيه آخر فاستشهد ثم مات الثالث على فراشه قال طلحة فرأيت هؤلاء الثلاث الذين كانوا عندي في الجنة فرأيت الميت على فراشه أمامهم ورأيت الذي استشهد أخيرا يليه ورأيت أولهم آخرهم قال فدخلني من ذلك فأتيت النبي فذكرت ذلك له فقال وما أنكرت من ذلك ليس أحد أفضل عند اللهمن مؤمن يعمر في الإسلام لتسبيحه وتكبيره وتهليله وجاء في هذا أحاديث أخر ذكرها الأصل الجد الحثيث ج:1 ص:89 ,,لحي أفضل من الميت,ليس بحديث ولا يصح معناه الجد الحثيث ج:1 ص:88 على الإطلاق بل إن أريد به أن الحي إذا ساوى الميت في فضل كالإسلام والعلم كان الحي أفضل منه بما يكتسبه بعد من الأعمال والفضائل وإليه يشير ما جاء بسند رجاله رجال الصحيح ,ليس بحديث ,non-authentic, باب الحاء
137_2,, عن طلحة, أن نفرا من بني عذرة -ثلاثة- أتوا النبي فأسلموا فقال النبي من يكفينهم قال طلحة أنا فكانوا عند طلحة فبعث النبي بعثا فخرج فيه أحدهم فاستشهد ثم بعث بعثا فخرج فيه آخر فاستشهد ثم مات الثالث على فراشه قال طلحة فرأيت هؤلاء الثلاث الذين كانوا عندي في الجنة فرأيت الميت على فراشه أمامهم ورأيت الذي استشهد أخيرا يليه ورأيت أولهم آخرهم قال فدخلني من ذلك فأتيت النبي فذكرت ذلك له فقال وما أنكرت من ذلك ليس أحد أفضل عند اللهمن مؤمن يعمر في الإسلام لتسبيحه وتكبيره وتهليله, وجاء في هذا أحاديث أخر ذكرها الأصل الجد الحثيث ج:1 ص:89 ,,non-authentic, باب الحاء
138_1,138- خاب قوم لا سفيه لهم في معناه ما جاء عن سعيد بن المسيب أن رجلا استطال على سليمان بن موسى فانتصر له أخوه فقال مكحول ذل من لا سفيه له ومن كلام الشافعي لا بأس بالفقيه أن يكون معه سفيه يسافه عنه ,,خاب قوم لا سفيه لهم,في معناه,,non-authentic, باب الخاء
138_2,, ما جاء عن سعيد بن المسيب, أن رجلا استطال على سليمان بن موسى فانتصر له أخوه فقال مكحول ذل من لا سفيه له,ومن كلام الشافعي لا بأس بالفقيه أن يكون معه سفيه يسافه عنه ,,non-authentic, باب الخاء
139,139- خازن القوت ممقوت لا يعرف حديثا لكنه أمر مشاهد ,,خازن القوت ممقوت,لا يعرف حديثا لكنه أمر مشاهد ,,non-authentic, باب الخاء
140,140- خذ ما تشاء من الدنيا وخذ بقدره هما لعله من كلام الجد الحثيث ج:1 ص:90 بعض الحكماء وقد يستشهد له بحديث الزهد في الدنيا يريح القلب والجسد ,,خذ ما تشاء من الدنيا وخذ بقدره هما,لعله من كلام الجد الحثيث ج:1 ص:90 بعض الحكماء وقد يستشهد له بحديث الزهد في الدنيا يريح القلب والجسد ,,non-authentic, باب الخاء
141,141- خذوا شطر دينكم عن الحميراء قال العماد ابن كثير سألت عنه الحافظين المزي والذهبي فلم يعرفاه وقال ابن حجر لا أعرف له إسنادا ولا رأيته في شيء من كتب الحديث إلا في النهاية لابن الأثير ولم يذكر من خرجه وقال السيوطي لم أقف عليه لكن في الفردوس عن أنس خذوا ثلث دينكم من بيت عائشة رضي الله تعالى عنها ولم يذكر له إسنادا الجد الحثيث ج:1 ص:91 ,,خذوا شطر دينكم عن الحميراء,قال العماد ابن كثير سألت عنه الحافظين المزي والذهبي فلم يعرفاه وقال ابن حجر لا أعرف له إسنادا ولا رأيته في شيء من كتب الحديث إلا في النهاية لابن الأثير ولم يذكر من خرجه وقال السيوطي لم أقف عليه لكن في الفردوس عن أنس خذوا ثلث دينكم من بيت عائشة رضي الله تعالى عنها ولم يذكر له إسنادا الجد الحثيث ج:1 ص:91 ,,non-authentic, باب الخاء
142,142- الخربز-وهو البطيخ بالفارسية تقدم أنه لا يصح فيه حديث ,,الخربز-وهو البطيخ بالفارسية,تقدم أنه لا يصح فيه حديث ,,non-authentic, باب الخاء
143,143- خرقة التصوف وأن الحسن لبسها من علي قالابن دحية وابن الصلاح باطل وقال ابن حجر ليس في شيء من طرقها ما يثبت ولم تثبت أئمة الحديث للحسن من علي سماعا فضلا عن أن يلبسه الخرقة وأنكرها جماعة آخرون حتى من لبسها وألبسها كالدمياطي والذهبي والهكاري وأبي حيان والعلائي ومغلطاي والعراقي والأبناسي والبرهان الحلبي وابن ناصر الدين والسخاوي ,,خرقة التصوف وأن الحسن لبسها من علي,قالابن دحية وابن الصلاح باطل وقال ابن حجر ليس في شيء من طرقها ما يثبت ولم تثبت أئمة الحديث للحسن من علي سماعا فضلا عن أن يلبسه الخرقة وأنكرها جماعة آخرون حتى من لبسها وألبسها كالدمياطي والذهبي والهكاري وأبي حيان والعلائي ومغلطاي والعراقي والأبناسي والبرهان الحلبي وابن ناصر الدين والسخاوي ,,non-authentic, باب الخاء
144,144- خصمي حاكمي ليس بحديث ,,خصمي حاكمي,ليس بحديث ,ليس بحديث,non-authentic, باب الخاء
145_1,145- الخطب يسير,,الخطب يسير,,,non-authentic, باب الخاء
145_2,أخرج مالك والشافعي عن خالد بن الجد الحثيث ج:1 ص:92 أسلم أن عمر -رضي الله عنه- أفطر ذات يوم في رمضان في يوم ذي غيم ورأى أنه أمسى وغابت الشمس فجاءه رجل فقال يا أمير المؤمنين قد طلعت الشمس فقال عمر الخطب يسير وقد اجتهدنا ,أخرج مالك والشافعي عن خالد بن,, الجد الحثيث ج:1 ص:92 ,,non-authentic, باب الخاء
145_3,, أسلم, أن عمر -رضي الله عنه- أفطر ذات يوم في رمضان في يوم ذي غيم ورأى أنه أمسى وغابت الشمس فجاءه رجل فقال يا أمير المؤمنين قد طلعت الشمس فقال عمر الخطب يسير وقد اجتهدنا ,,,non-authentic, باب الخاء
146,146- الخمر مفتاح كل شر من كلام عيسى -عليه الصلاة والسلام- لكن في الحديث اجتنبوا الخمر فإنها مفتاح كل شر ,,الخمر مفتاح كل شر,من كلام عيسى -عليه الصلاة والسلام- لكن في الحديث اجتنبوا الخمر فإنها مفتاح كل شر ,,non-authentic, باب الخاء
147_1,147- الخمول نعمة وكل يأباها هو من كلام بعض السلف لكن في الحديث إن الله يحب العبد التقي الغني الخفي ,, الخمول نعمة وكل يأباها,هو من كلام بعض السلف لكن في الحديث ,,non-authentic, باب الراء 
147_2,,, إن الله يحب العبد التقي الغني الخفي,,,unknown, باب الراء 
148,148- خلا لك الجو فبيضي واصفري ونقري ما شئت أن تنقري من كلام عليى -رضي الله تعالى عنه- الجد الحثيث ج:1 ص:93 ,,خلا لك الجو فبيضي واصفري ونقري ما شئت أن تنقري,من كلام عليى -رضي الله تعالى عنه- الجد الحثيث ج:1 ص:93 ,,non-authentic, باب الراء 
149,149- خيار البر عاجله ليس بحديث نعم قال العباس لا يتم البر إلا بتعجيله فإنه إذا عجله هناه ,,خيار البر عاجله,ليس بحديث نعم قال العباس لا يتم البر إلا بتعجيله فإنه إذا عجله هناه ,ليس بحديث,non-authentic, باب الراء 
150_1,150- خير الأسماء ما عبد وحمد لا يعرف بهذا اللفظ نعم في الحديث أحب الأسماء إلى الله عبد الله وعبد الرحمن وفيه أيضا إذا سميتم فعبدوا ,, خير الأسماء ما عبد وحمد,لا يعرف بهذا اللفظ نعم في الحديث,,non-authentic, باب الراء 
150_2,,, أحب الأسماء إلى الله عبد الله وعبد الرحمن, وفيه أيضا,,unknown, باب الراء 
150_3,,, إذا سميتم فعبدوا ,,,unknown, باب الراء 
151_1,151- خير الأمور أوساطها من كلام مطرف بن عبد الله ويزيد بن مرة الجعفي الجد الحثيث ج:1 ص:94 وقال أبو قلابة خير أموركم أوساطها وروي -أيضا- عن علي ,,خير الأمور أوساطها, من كلام مطرف بن عبد الله ويزيد بن مرة الجعفي الجد الحثيث ج:1 ص:94,,non-authentic, باب الراء 
151_2,,وقال أبو قلابة, خير أموركم أوساطها , وروي -أيضا- عن علي,,non-authentic, باب الراء 
152_1,152- خير خير عند سماع نعيق الغراب ونحوه هو نوع طيرة وجاء عن عكرمة قال كنا عند ابن عمر عنده ابن عباس -رضي الله عنهم- فمر غراب يصيح فقال رجل خير خير فقال ابن عباس لا خير ولا شر ,,خير خير عند سماع نعيق الغراب ونحوه,هو نوع طيرة,,non-authentic, باب الراء 
152_2,, وجاء عن عكرمة قال, كنا عند ابن عمر عنده ابن عباس -رضي الله عنهم- فمر غراب يصيح فقال رجل خير خير فقال ابن عباس لا خير ولا شر ,,,non-authentic, باب الراء 
153,153- الخير في وفي أمتي إلى يوم القيامة قال ابن حجر لا أعرفه ولكن معناه صحيح الجد الحثيث ج:1 ص:95 ,,الخير في وفي أمتي إلى يوم القيامة,قال ابن حجر لا أعرفه ولكن معناه صحيح الجد الحثيث ج:1 ص:95 ,,non-authentic, باب الراء 
154_1,154- دار الظالمين خراب ليس بحديث وفي التنزيل فَتِلْكَ بُيُوتُهُمْ خَاوِيَة بِما ظَلَمُوا النمل52 وعن كعب أن في التوراة من يظلم يخرب بيته ,,دار الظالمين خراب, ليس بحديث وفي التنزيل فَتِلْكَ بُيُوتُهُمْ خَاوِيَة بِما ظَلَمُوا النمل52,,non-authentic, باب الراء 
154_2,,وعن كعب, أن في التوراة من يظلم يخرب بيته ,,,non-authentic, باب الراء 
155,155- دارت رحى فلان كلام يوصف به من انحط عما كان فيه وليس بحديث ,,دارت رحى فلان,كلام يوصف به من انحط عما كان فيه وليس بحديث ,,non-authentic, باب الراء 
156,156- دارهم ما دمت في دارهم ليس بحديث وإنما هو شعر تمامه وأرضهم ما دمت في أرضهم لكن في الحديث الجد الحثيث ج:1 ص:96 ,,دارهم ما دمت في دارهم,ليس بحديث وإنما هو شعر تمامه وأرضهم ما دمت في أرضهم لكن في الحديث الجد الحثيث ج:1 ص:96 ,,non-authentic, باب الراء 
157,157- مداراة الناس صدقة وفيه ,,مداراة الناس صدقة,وفيه ,,non-authentic, باب الراء 
158,158- أُمرت بمداراة الناس كما أمرت بالصلاة المفروضة وفيه ,,أُمرت بمداراة الناس كما أمرت بالصلاة المفروضة,وفيه ,,non-authentic, باب الراء 
159,159- رأس العقل المداراة وأهل المعروف في الدنيا هم أهل المعروف في الآخرة الجد الحثيث ج:1 ص:97 ,,رأس العقل المداراة وأهل المعروف في الدنيا هم أهل المعروف في الآخرة,الجد الحثيث ج:1 ص:97 ,,non-authentic, باب الراء 
160,160- داروا سفهاءكم بثلث أموالكم قال الجد لم أقف عليه وفي مسند الفردوس بلا سند ,,داروا سفهاءكم بثلث أموالكم,قال الجد لم أقف عليه وفي مسند الفردوس بلا سند ,,non-authentic, باب الراء 
161,161- داروا النساء تنتفعوا بهن فإنهن لا يستوين لكم أبدا وعن أبي هريرة ,, داروا النساء تنتفعوا بهن فإنهن لا يستوين لكم أبدا,وعن أبي هريرة ,,non-authentic, باب الراء 
162,162- ذبوا بأموالكم عن أعراضكم قالوا يا رسول الله كيف قال تعطون الشاعر ومن تخافون لسانه الجد الحثيث ج:1 ص:98 ,,ذبوا بأموالكم عن أعراضكم قالوا يا رسول الله كيف قال تعطون الشاعر ومن تخافون لسانه, الجد الحثيث ج:1 ص:98,,non-authentic, باب الراء 
163,163- الدرجة الرفيعة المدرج فيما يقال بعد الأذان قال السخاوي لم أره في شيء من الروايات وأصل الحديث عن جابر من قال حين يسمع النداء اللهم رب هذه الدعوة التامة والصلاة القائمة آت محمد الوسيلة والفضيلة وابعثه مقاما محمودا الذي وعدته حلت له شفاعتي وقال ومن زادها اغتر بما وقع في بعض نسخ الشفا من زيادتها مع أنه علم عليها كاتبها بما يشير إلى الشك ولم أرها في سائر النسخ ,,الدرجة الرفيعة,المدرج فيما يقال بعد الأذان قال السخاوي لم أره في شيء من الروايات وأصل الحديث عن جابر من قال حين يسمع النداء اللهم رب هذه الدعوة التامة والصلاة القائمة آت محمد الوسيلة والفضيلة وابعثه مقاما محمودا الذي وعدته حلت له شفاعتي وقال ومن زادها اغتر بما وقع في بعض نسخ الشفا من زيادتها مع أنه علم عليها كاتبها بما يشير إلى الشك ولم أرها في سائر النسخ ,,non-authentic, باب الراء 
164_1,164- دعاء المرء على حبيبه غير مقبول لا يعرف بهذا لكن عند الديلمي من حديث ابن عمر إني سألت الله أن لا يقبل دعاء حبيب على حبيبه وعند الدارقطني إن الله لا يقبل دعاء حبيب على حبيبه الجد الحثيث ج:1 ص:99 ,,دعاء المرء على حبيبه غير مقبول,لا يعرف بهذا لكن,,non-authentic, باب الراء 
164_2,,عند الديلمي من حديث ابن عمر,إني سألت الله أن لا يقبل دعاء حبيب على حبيبه,,,non-authentic, باب الراء 
164_3,,وعند الدارقطني, إن الله لا يقبل دعاء حبيب على حبيبه,الجد الحثيث ج:1 ص:99 ,,non-authentic, باب الراء 
165_1,165- الدنيا جيفة وطلابها كلاب ليس بهذا اللفظ في المرفوع نعم جاء عن علي الدنيا جيفة فمن أرادها فليصبر على مخالطة الكلاب وفي الحديث ,,الدنيا جيفة وطلابها كلاب, ليس بهذا اللفظ في المرفوع نعم,,non-authentic, باب الراء 
165_2,, جاء عن علي, الدنيا جيفة فمن أرادها فليصبر على مخالطة الكلاب, وفي الحديث,,non-authentic, باب الراء 
166,166- دعوا الدنيا لأهلها دعوا الدنيا لأهلها وفي الحديث ,, دعوا الدنيا لأهلها دعوا الدنيا لأهلها,وفي الحديث ,,non-authentic, باب الراء 
167,167- من أخذ من الدنيا فوق ما يكفيه أخذ جيفة وهو لا يشعر ,,من أخذ من الدنيا فوق ما يكفيه أخذ جيفة وهو لا يشعر,,,non-authentic, باب الراء 
168_1,168- الدنيا ضرة الآخرة ليس في المرفوع بهذا اللفظ ولكن فيه من أحب دنياه أضر بآخرته ومن أحب آخرته أضر بدنياه فآثروا ما يبقى على ما يفنى الجد الحثيث ج:1 ص:100 وقد يشير إليه قوله تعالى وَمَن كَانَ يُرِيدُ حَرْثَ الآيةالشورى20 ومن كلام عيسى -عليه السلام-الدنيا والآخرة ضرتان فإذا أرضيت إحداهما أسخطت الأخرى ,,الدنيا ضرة الآخرة, ليس في المرفوع بهذا اللفظ ولكن فيه,,non-authentic, باب الراء 
168_2,,, من أحب دنياه أضر بآخرته ومن أحب آخرته أضر بدنياه فآثروا ما يبقى على ما يفنى, الجد الحثيث ج:1 ص:100 وقد يشير إليه قوله تعالى وَمَن كَانَ يُرِيدُ حَرْثَ الآيةالشورى20 ومن كلام عيسى -عليه السلام-الدنيا والآخرة ضرتان فإذا أرضيت إحداهما أسخطت الأخرى ,,non-authentic, باب الراء 
169,169- الدنيا مزرعة الآخرة قال السخاوي لم أقف عليه مع إيراد الغزالي له في الإحياء وفي الفردوس بلا سند ,,الدنيا مزرعة الآخرة,قال السخاوي لم أقف عليه مع إيراد الغزالي له في الإحياء وفي الفردوس بلا سند ,,non-authentic, باب الراء 
170_1,170- الدنيا قنطرة الآخرة وفي معناه حديث أنس ليس الجد الحثيث ج:1 ص:101 بخيركم من ترك دنياه لآخرتهولا من ترك آخرته لدنياه حتى يصيب منهما جميعا فإن الدنيا بلاغ إلى الآخرة ولا تكونوا كلا على الناس وأوضح منه في معنى الترجمة حديث جرير من تزود في الدنيا ينفعه في الآخرة ,,الدنيا قنطرة الآخرة,وفي معناه حديث أنس ليس الجد الحثيث ج:1 ص:101,,non-authentic, باب الراء 
170_2,,,بخيركم من ترك دنياه لآخرتهولا من ترك آخرته لدنياه حتى يصيب منهما جميعا فإن الدنيا بلاغ إلى الآخرة ولا تكونوا كلا على الناس, وأوضح منه في معنى الترجمة حديث,,non-authentic, باب الراء 
170_3,, جرير, من تزود في الدنيا ينفعه في الآخرة ,,,non-authentic, باب الراء 
171,171- الديْن ولو درهم والبنت ولو مريم والسؤال ولو كيف الطريق ليس بحديث بل مثل وهو على حذف الخبر تقديره الدين مكروه أو محذور نعم أخرج الديلمي من حديث عائشة -رضي الله عنها- ,,الديْن ولو درهم والبنت ولو مريم والسؤال ولو كيف الطريق,ليس بحديث بل مثل وهو على حذف الخبر تقديره الدين مكروه أو محذور نعم أخرج الديلمي من حديث عائشة -رضي الله عنها- ,,non-authentic, باب الراء 
172,172- الديْن ينقص من الدين والحسب وأخرج من حديثها أيضا ,,الديْن ينقص من الدين والحسب,وأخرج من حديثها أيضا ,,non-authentic, باب الراء 
173,173- الدين هم بالليل ومذلة بالنهار وفي حديث جابر ,,الدين هم بالليل ومذلة بالنهار,وفي حديث جابر ,,non-authentic, باب الراء 
174,174- لا هم إلا هم الدين ولا وجع إلا وجع العين الجد الحثيث ج:1 ص:102 ,,لا هم إلا هم الدين ولا وجع إلا وجع العين,الجد الحثيث ج:1 ص:102 ,,non-authentic, باب الراء 
175,175- ذكاة الأرض يبسها لا أصل له في المرفوع بل أخرجه ابن جرير في تهذيب الآثار عن أبي حنيفة ,, ذكاة الأرض يبسها,لا أصل له في المرفوع بل أخرجه ابن جرير في تهذيب الآثار عن أبي حنيفة ,,non-authentic, باب الراء 
176,176- ذل من لا سفيه له تقدم في خاب إنه من كلام مكحول ,,ذل من لا سفيه له,تقدم في خاب إنه من كلام مكحول ,,non-authentic, باب الراء 
177,177- ذهب الناس وبقي النسناس من كلام أبي هريرة -رضي الله عنه- قيل له فما النسناس الجد الحثيث ج:1 ص:103 قال يشبهون الناس وليسوا بناس وروي نحوه عن ابن عباس من قوله وقال الحسن ذهب الناس وبقي النسناس لو تكاشفتم ما تدافنتم الجد الحثيث ج:1 ص:104 ,,ذهب الناس وبقي النسناس, من كلام أبي هريرة -رضي الله عنه- قيل له فما النسناس الجد الحثيث ج:1 ص:103 قال يشبهون الناس وليسوا بناس وروي نحوه عن ابن عباس من قوله وقال الحسن ذهب الناس وبقي النسناس لو تكاشفتم ما تدافنتم الجد الحثيث ج:1 ص:104 ,,non-authentic, باب الراء 
178,178- الرابح في الشر خاسر ليس بحديث ,,الرابح في الشر خاسر,ليس بحديث ,,non-authentic, باب الراء 
179,179- ربط الخيط في الأصبع ليذكر الحاجة روى ابن شاهين النهي عنه وكذا فعله ثم قال وجميع أسانيده منكرة ولا أعلم منها شيئا صحيحا ,,ربط الخيط في الأصبع ليذكر الحاجة,روى ابن شاهين النهي عنه وكذا فعله ثم قال وجميع أسانيده منكرة ولا أعلم منها شيئا صحيحا ,,non-authentic, باب الراء 
